Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Ce  	L = Ag51Ce14  	 	25  	 	1041  	Congruent  
Ag-Ce  	Ag2Ce ht2 = Ag2Ce ht1  	 	33.3  	 	748  	Polymorphic  
Ag-Ce  	Ag2Ce ht1 = Ag2Ce rt  	 	33.3  	 	540  	Polymorphic  
Ag-Ce  	L = Ag2Ce ht2 + AgCe ht  	43  	33.3  	50  	780  	Eutectic  
Ag-Ce  	L + Ag51Ce14 = Ag2Ce ht2  	35  	27  	33.3  	855  	Peritectic  
Ag-Ce  	L = AgCe ht  	 	50  	 	870  	Congruent  
Ag-Ce  	AgCe ht = AgCe rt  	 	50  	 	470  	Polymorphic  
Ag-Ce  	L = AgCe ht + (Ce) ht2  	81  	50  	98  	508  	Eutectic  
Ag-Ce  	(Ce) ht1 = L + (Ce) ht2  	98  	93.5  	99  	710  	Catatectic  
Ag-Co  	L2 = L1 +(Co) ht  	99  	4  	100  	1489  	Monotectic  
Ag-Co  	L1 + (Co) ht = (Ag)  	0.5  	100  	0.81  	967  	Peritectic  
Ag-Cr  	L2 = L1 + (Cr)  	97  	3  	100  	1450  	Monotectic  
Ag-Cr  	L1 = (Ag) + (Cr)  	0  	0  	100  	960.9  	Eutectic  
Ag-Cu  	L = (Ag) + (Cu)  	39.9  	14.1  	95.1  	779.1  	Eutectic  
Ag-Dy  	L = (Ag) + Ag51Dy14  	12  	1.3  	21.5  	802  	Eutectic  
Ag-Dy  	L = Ag51Dy14  	 	23  	 	990  	Congruent  
Ag-Dy  	L = Ag51Dy14 + Ag2Dy  	28.6  	25.5  	32.5  	905  	Eutectic  
Ag-Dy  	L = Ag2Dy  	 	33.3  	 	970  	Congruent  
Ag-Dy  	L = Ag2Dy + AgDy  	37.5  	34.3  	50  	950  	Eutectic  
Ag-Dy  	L = AgDy  	 	50  	 	1182  	Congruent  
Ag-Dy  	L = AgDy + (Dy) rt  	71  	50  	100  	885  	Eutectic  
Ag-Dy  	L + (Dy) ht + (Dy) rt  	 	100  	100  	1381  	unknown  
Ag-Er  	L = (Ag) + Ag51Er14  	11.5  	3.6  	21.5  	795  	Eutectic  
Ag-Er  	L = Ag51Er14  	 	23  	 	930  	Congruent  
Ag-Er  	L = Ag51Er14 + Ag2Er  	26.5  	25.5  	33.3  	890  	Eutectic  
