Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type   
Cu-Tb  	L = (Cu) + Cu5Tb rt  	9.5  	0  	16.7  	860  	Eutectic  
Cu-Tb  	Cu5.44Tb0.78 = (Cu) + Cu5Tb rt  	12.5  	0  	16.7  	700  	Eutectoid  
Cu-Tb  	L + Cu9Tb2 = Cu5Tb ht  	15  	18.2  	16.7  	940  	Peritectic  
Cu-Tb  	Cu5Tb ht = Cu5Tb rt  	 	13.7  	 	895  	Polymorphic  
Cu-Tb  	L = Cu9Tb2  	 	18.2  	 	950  	Congruent  
Cu-Tb  	L + Cu9Tb2 = Cu7Tb2  	27.5  	18.2  	22.2  	890  	Peritectic  
Cu-Tb  	Cu7Tb2 = L + Cu9Tb2  	22.2  	30  	18.2  	850  	Catatectic  
Cu-Tb  	L = Cu9Tb2 + Cu2Tb  	60.4  	18.2  	33.3  	840  	Eutectic  
Cu-Tb  	L = Cu2Tb  	 	33.3  	 	870  	Congruent  
Cu-Tb  	L = Cu2Tb + CuTb rt  	37.7  	33.3  	50  	810  	Eutectic  
Cu-Tb  	L = CuTb rt  	 	50  	 	900  	Congruent  
Cu-Tb  	L = CuTb rt + (Tb) rt  	70  	50  	100  	730  	Eutectic  
Cu-Tb  	L + (Tb) ht + (Tb) rt  	96.5  	100  	100  	1289  	unknown  
Cu-Tc  	L1 + (Cu) + (Tc)  	0  	0  	100  	1084.87  	unknown  
Cu-Te  	L = L1 + L2  	 	17.5  	 	1206  	Critical  
Cu-Te  	L2 = L1 + Cu2Te ht2  	30  	5  	33  	1092  	Monotectic  
Cu-Te  	L1 = (Cu) + Cu2Te ht2  	3  	0  	33  	1050  	Eutectic  
Cu-Te  	(Cu) + Cu2Te ht2 = Cu2Te ht1  	0  	33  	33  	600  	Peritectoid  
Cu-Te  	(Cu) + Cu2Te ht1 = Cu1.9Te ht2  	0  	33.65  	33.6  	362  	Peritectoid  
Cu-Te  	(Cu) + Cu1.9Te ht2 = Cu1.95Te ht  	0  	33.68  	33.65  	317  	Peritectoid  
Cu-Te  	(Cu) + Cu1.95Te ht = Cu2Te rt  	0  	33.73  	33.51  	277  	Peritectoid  
Cu-Te  	Cu1.9Te ht2 = Cu1.95Te ht + Cu1.9Te ht1  	34.2  	34.05  	34.4  	300  	Eutectoid  
Cu-Te  	Cu1.95Te ht = Cu2Te rt + Cu1.9Te ht1  	33.75  	33.6  	34.1  	270  	Eutectoid  
Cu-Te  	Cu1.9Te ht1 = Cu2Te rt + Cu1.9Te rt  	34.85  	33.65  	34.4  	170  	Eutectoid  
Cu-Te  	Cu1.9Te ht2 + Cu1.77Te ht = Cu1.9Te ht1  	34.9  	35.15  	35  	320  	Peritectoid  
Cu-Te  	Cu1.77Te ht = Cu1.9Te ht1 + Cu1.8Te ht  	35.2  	34.95  	35.45  	245  	Eutectoid  
Cu-Te  	L2 = Cu2Te ht2  	 	33.3  	 	1140  	Congruent  
Cu-Te  	L2 + Cu1.38Te ht = CuTe  	67  	42  	50  	425  	Peritectic  
Cu-Te  	L2 = CuTe + (Te)  	71  	50  	100  	340  	Eutectic  
Cu-Te  	Cu1.9Te ht1 + Cu1.82Te rt = Cu1.9Te rt  	34.65  	35.15  	34.7  	175  	Peritectoid  
Cu-Te  	Cu2Te ht2 = Cu2Te ht1 + Cu1.4Te rt  	36.5  	35.95  	40  	357  	Eutectoid  
Cu-Te  	Cu2Te ht1 = Cu1.9Te ht2 + Cu1.4Te rt  	35.93  	35.5  	40  	352  	Eutectoid  
Cu-Te  	Cu1.9Te ht2 + Cu1.4Te rt = Cu1.77Te ht  	35.45  	40  	36.05  	342  	Peritectoid  
Cu-Te  	Cu1.77Te ht + Cu1.4Te rt = Cu7Te4 rt  	36.1  	40  	36.2  	270  	Peritectoid  
Cu-Te  	Cu1.77Te ht + Cu7Te4 rt = Cu1.8Te ht  	35.55  	35.9  	35.85  	260  	Peritectoid  
Cu-Te  	Cu1.8Te ht = Cu1.82Te rt + Cu7Te4 rt  	36.73  	35.6  	36.2  	220  	Eutectoid  
Cu-Te  	L2 + Cu2Te ht2 = Cu1.4Te ht2  	43  	36.5  	37  	810  	Peritectic  
Cu-Te  	L2 + Cu1.4Te ht2 = Cu1.38Te ht  	47  	41  	41  	647  	Peritectic  
Cu-Te  	Cu2Te ht2 + Cu1.4Te ht1 = Cu1.4Te rt  	36.5  	40.4  	40  	390  	Peritectoid  
Cu-Te  	Cu1.38Te ht = Cu1.4Te rt + CuTe  	42  	41.5  	50  	380  	Eutectoid  
Cu-Th  	L = (Cu) + Cu6Th ht  	7  	0  	14.3  	935  	Eutectic  
Cu-Th  	L = Cu6Th ht  	 	14.3  	 	1055  	Congruent  
Cu-Th  	Cu6Th ht = (Cu) + Cu51Th14  	14.3  	0  	21.7  	700  	Eutectoid  
Cu-Th  	L = Cu6Th ht + Cu51Th14  	18  	14.3  	21.7  	1020  	Eutectic  
Cu-Th  	L = Cu51Th14  	 	21.7  	 	1052  	Congruent  
Cu-Th  	L = Cu51Th14 + Cu2Th  	26  	21.7  	33.3  	980  	Eutectic  
Cu-Th  	L = Cu2Th  	 	33.3  	 	1015  	Congruent  
Cu-Th  	L = Cu2Th + CuTh2  	49  	33.3  	66.7  	880  	Eutectic  
Cu-Th  	L = CuTh2  	 	66.7  	 	1007  	Congruent  
Cu-Th  	L = CuTh2 + (Th) rt  	70  	66.7  	100  	1000  	Eutectic  
Cu-Th  	L + (Th) ht + (Th) rt  	83.8  	100  	100  	1360  	unknown  
Cu-Ti  	L + (Cu) = Cu4Ti  	22  	8  	19.1  	885  	Peritectic  
Cu-Ti  	L = Cu4Ti + Cu2Ti ht  	27  	21  	33.3  	875  	Eutectic  
Cu-Ti  	L + Cu4Ti3 = Cu2Ti ht  	29  	42.9  	33.3  	890  	Peritectic  
Cu-Ti  	Cu2Ti ht = Cu4Ti + Cu3Ti2  	33.3  	22  	40  	870  	Eutectoid  
Cu-Ti  	Cu2Ti ht + Cu4Ti3 = Cu3Ti2  	33.3  	42.9  	40  	875  	Peritectoid  
Cu-Ti  	L + CuTi = Cu4Ti3  	37.5  	48  	42.9  	925  	Peritectic  
Cu-Ti  	L = CuTi  	 	50  	 	982  	Congruent  
Cu-Ti  	L = CuTi + CuTi2  	57  	54  	66.7  	960  	Eutectic  
Cu-Ti  	L + (Ti) ht = CuTi2  	63.5  	86.5  	66.7  	1005  	Peritectic  
Cu-Ti  	(Ti) ht = CuTi2 + (Ti) rt  	94.6  	66.7  	98.4  	790  	Eutectoid  
Cu-Tl  	L1 = L2 + (Cu)  	14.5  	83  	0.28  	968  	Monotectic  
Cu-Tl  	L2 = (Cu) + (Tl) ht  	100  	0  	100  	302  	Eutectic  
Cu-Tl  	(Cu) + (Tl) ht + (Tl) rt  	0  	100  	100  	232  	unknown  
Cu-Tm  	L = (Cu) + Cu5Tm  	7  	0  	16.7  	900  	Eutectic  
Cu-Tm  	L + Cu9Tm2 = Cu5Tm  	14  	18.2  	16.7  	1000  	Peritectic  
Cu-Tm  	L = Cu9Tm2  	 	18.2  	 	1020  	Congruent  
Cu-Tm  	L = Cu9Tm2 + Cu2Tm  	29.4  	18.2  	33.3  	910  	Eutectic  
Cu-Tm  	L + Cu9Tm2 = Cu7Tm2 ht  	26.5  	18.2  	22.2  	960  	Peritectic  
Cu-Tm  	Cu7Tm2 ht = L + Cu9Tm2  	22.2  	29  	18.2  	920  	Catatectic  
Cu-Tm  	L = Cu2Tm  	 	33.3  	 	960  	Congruent  
Cu-Tm  	L = Cu2Tm + CuTm  	36.5  	33.3  	50  	930  	Eutectic  
Cu-Tm  	L = CuTm  	 	50  	 	1100  	Congruent  
Cu-Tm  	L = CuTm + (Tm)  	67  	50  	100  	925  	Eutectic  
Cu-U  	L1 = (Cu) + Cu5U  	7.9  	0  	16.7  	950  	Eutectic  
Cu-U  	L 1 + Cu5U + (U) ht2  	16.7  	16.7  	100  	1052  	unknown  
Cu-U  	L2 = L1 + (U) ht2  	95  	22  	100  	1080  	Monotectic  
Cu-U  	Cu5U + (U) ht2 + (U) ht1  	16.7  	100  	100  	776  	unknown  
Cu-U  	Cu5U + (U) ht1 + (U) rt  	16.7  	100  	100  	668  	unknown  
Cu-V  	L2 = L1 + (V)  	82  	17  	92.6  	1178  	Monotectic  
Cu-V  	L1 + (V) = (Cu)  	0  	100  	0  	1085  	Peritectic  
Cu-W  	L2 = L1 + (W)  	91  	4.1  	100  	3240  	Monotectic  
Cu-W  	L1 = (Cu) + (W)  	0  	0  	100  	1084  	Eutectic  
Cu-Y  	L = (Cu ) + Cu5Y  	9.5  	0  	13  	880  	Eutectic  
Cu-Y  	L + Cu4Y = Cu5Y  	13.5  	20  	15  	911  	Peritectic  
Cu-Y  	L = Cu4Y  	 	20  	 	971  	Congruent  
Cu-Y  	L + Cu4Y = Cu7Y2  	27  	20  	22.2  	925  	Peritectic  
Cu-Y  	L = Cu4Y + Cu2Y ht  	30  	22.2  	33.3  	876  	Eutectic  
Cu-Y  	L = Cu2Y ht  	 	33.3  	 	897  	Congruent  
Cu-Y  	Cu2Y ht = Cu2Y rt  	 	33.3  	 	855  	Polymorphic  
Cu-Y  	L = Cu2Y rt + CuY  	39  	33.3  	50  	840  	Eutectic  
Cu-Y  	L = CuY  	 	50  	 	947  	Congruent  
Cu-Y  	L = CuY + (Y) rt  	64.5  	50  	100  	797  	Eutectic  
Cu-Y  	L + (Y) ht + (Y) rt  	98  	100  	100  	1478  	unknown  
Cu-Yb  	L = (Cu) + Cu5Yb  	10  	0  	13.7  	859  	Eutectic  
Cu-Yb  	L + Cu9Yb2 = Cu5Yb  	12  	18.2  	16.7  	879  	Peritectic  
Cu-Yb  	L = Cu9Yb2  	 	18.2  	 	937  	Congruent  
Cu-Yb  	L + Cu9Yb2 = Cu7Yb2  	30  	18.2  	22.2  	825  	Peritectic  
Cu-Yb  	L + Cu7Yb2 = Cu2Yb  	35.7  	22.2  	33.3  	757  	Peritectic  
Cu-Yb  	L + Cu2Yb = CuYb  	50.5  	33.3  	50  	628  	Peritectic  
Cu-Yb  	L = CuYb + (Yb) rt  	73.5  	50  	100  	472  	Eutectic  
Cu-Yb  	L + (Yb) ht + (Yb) rt  	98  	100  	100  	795  	unknown  
Cu-Zn  	L + (Cu) = Cu0.5Zn0.5 ht  	36.8  	31.9  	36.1  	902  	Peritectic  
Cu-Zn  	Cu0.5Zn0.5 ht = (Cu) + Cu1.05Zn0.95  	44.8  	38.27  	44.8  	454  	Eutectoid  
Cu-Zn  	Cu0.5Zn0.5 ht + Cu5Zn8 = Cu1.05Zn0.95  	48.2  	57  	48.2  	468  	Peritectoid  
Cu-Zn  	L + Cu0.5Zn0.5 ht = Cu5Zn8  	59.1  	55.8  	59.1  	834  	Eutectic  
Cu-Zn  	L + Cu5Zn8 = Cu0.7Zn2 ht  	79.8  	69.2  	72.45  	700  	Peritectic  
Cu-Zn  	Cu0.7Zn2 ht = Cu5Zn8 + Cu0.2Zn0.8  	73.5  	70  	78  	560  	Eutectoid  
Cu-Zn  	L + Cu0.7Zn2 ht = Cu0.2Zn0.8  	87.9  	76  	78  	598  	Peritectic  
Cu-Zn  	L + Cu0.2Zn0.8 = (Zn)  	98.25  	88  	97.17  	425  	Peritectic  
Cu-Zr  	L + Cu51Zr14 = Cu5Zn  	11.5  	21.5  	18.2  	1012  	Peritectic  
Cu-Zr  	L + Cu51Zr14 = Cu8Zr3  	36  	21.5  	27.3  	975  	Peritectic  
Cu-Zr  	L = Cu8Zr3 + Cu10Zr7  	38.2  	27.3  	41.2  	885  	Eutectic  
Cu-Zr  	L = Cu10Zr7 + CuZr ht  	44  	41.2  	50  	890  	Eutectic  
Cu-Zr  	L = CuZr ht  	 	50  	 	935  	Congruent  
Cu-Zr  	CuZr ht = Cu10Zr7 + CuZr2 ht  	50  	41.2  	66.7  	715  	Eutectoid  
Cu-Zr  	L = CuZr + CuZr2 ht  	54.3  	50  	66.7  	926  	Eutectic  
Cu-Zr  	L = CuZr2 ht  	 	66.7  	 	1000  	Congruent  
Cu-Zr  	L = CuZr2 ht + (Zr) ht  	72.4  	66.7  	94.3  	995  	Eutectic  
Cu-Zr  	(Zr) ht = CuZr2 ht + (Zr) rt  	97.8  	66.7  	99.8  	822  	Eutectoid  
Cu-Zr  	L = (Cu) + Cu5Zn  	8.6  	0.12  	18.2  	972  	Eutectic  
Cu-Zr  	L = Cu51Zr14  	 	21.5  	 	1115  	Congruent  
Cu-Zr  	L = Cu10Zr7  	 	41.2  	 	895  	Congruent  

Found: 493 reactions
Return to Contents 

ASM Alloy Phase Diagrams Center, P. Villars, editor-in-chief; H. Okamoto and K. Cenzual, section editors;
http://www1.asminternational.org/AsmEnterprise/APD, ASM International, Materials Park, OH, USA, 2006-2015
© ASM International 2015. All Rights Reserved. Version 1.0.5.0

 	Alloy Phase Diagram Database™	Element 1: Element 2: Element 3:  
HomeExplorerSearchToolsHelp
 
Special Points Table

Return to Contents

Chemical System	Reaction	%A	%B	%C	Temperature, °C 	Reaction type  
D-Fe  	(Fe) ht = (Fe) rt + ?  	99.9787  	99.984  	 	912  	Eutectoid  
D-H  	(D lt2,H lt2) = (D) lt2 + (H) lt2  	 	50  	 	-270.4  	Critical  
D-Li  	L + (Li) rt + ?  	100  	100  	 	180.6  	unknown  
D-Nb  	(Nb)2 = (Nb)1 + NbD  	68  	90  	57.5  	96  	Monotectoid  
D-Pd  	(Pd) = (Pd)1 + (Pd)2  	 	80  	 	283  	Critical  
D-Ta  	Ta2D rt = (Ta) + TaD  	83  	87  	70  	16  	Eutectoid  
D-Ta  	(Ta) = Ta2D rt  	 	66  	 	62  	Maximum  
D-Ta  	Ta2D rt + (Ta) = TaD  	65  	63  	64.5  	59  	Peritectoid  
D-Ta  	(Ta) = TaD  	 	62  	 	58  	Minimum  
D-V  	(V) = V2D rt  	 	66.7  	 	135  	Maximum  
D-V  	(V) = V2D rt + V4D3 lt  	57.2  	65  	57  	-56  	Eutectoid  
D-V  	(V) + V4D3 lt = V4D3 lt1  	55.5  	54.5  	55  	-39  	Peritectoid  
D-V  	(V) + DV2 rt = V4D3 lt  	53.5  	35  	53  	-32  	Peritectoid  

Found: 13 reactions
Return to Contents 

ASM Alloy Phase Diagrams Center, P. Villars, editor-in-chief; H. Okamoto and K. Cenzual, section editors;
http://www1.asminternational.org/AsmEnterprise/APD, ASM International, Materials Park, OH, USA, 2006-2015
© ASM International 2015. All Rights Reserved. Version 1.0.5.0

 	Alloy Phase Diagram Database™	Element 1: Element 2: Element 3:  
HomeExplorerSearchToolsHelp
 
Special Points Table

Return to Contents

Chemical System	Reaction	%A	%B	%C	Temperature, °C 	Reaction type 
Ag-Dy  	L = (Ag) + Ag51Dy14  	12  	1.3  	21.5  	802  	Eutectic  
Ag-Dy  	L = Ag51Dy14  	 	23  	 	990  	Congruent  
Ag-Dy  	L = Ag51Dy14 + Ag2Dy  	28.6  	25.5  	32.5  	905  	Eutectic  
Ag-Dy  	L = Ag2Dy  	 	33.3  	 	970  	Congruent  
Ag-Dy  	L = Ag2Dy + AgDy  	37.5  	34.3  	50  	950  	Eutectic  
Ag-Dy  	L = AgDy  	 	50  	 	1182  	Congruent  
Ag-Dy  	L = AgDy + (Dy) rt  	71  	50  	100  	885  	Eutectic  
Ag-Dy  	L + (Dy) ht + (Dy) rt  	 	100  	100  	1381  	unknown  
Al-Dy  	L = (Al) + DyAl3 rt  	2.5  	0  	25  	636  	Eutectic  
Al-Dy  	DyAl3 ht = DyAl3 rt  	 	26  	 	1005  	Polymorphic  
Al-Dy  	L + Al2Dy = DyAl3 ht  	11  	33.3  	26.5  	1090  	Peritectic  
Al-Dy  	L = DyAl2 rt  	 	33.3  	 	1500  	Congruent  
Al-Dy  	L + DyAl2 rt = DyAl rt  	55  	33.3  	50  	1110  	Peritectic  
Al-Dy  	L + DyAl rt = Dy3Al2  	68  	50  	60  	1025  	Peritectic  
Al-Dy  	L + Dy3Al2 = Dy2Al  	73  	60  	66.7  	990  	Peritectic  
Al-Dy  	L = Dy2Al + (Dy) ht  	78  	66.7  	99.5  	940  	Eutectic  
Al-Dy  	(Dy) ht = L + (Dy) rt  	97  	90  	99  	1300  	Catatectic  
As-Dy  	L = (As) + DyAs rt  	5  	0  	50  	750  	Eutectic  
As-Dy  	L = DyAs rt  	 	50  	 	>2500  	Congruent  
As-Dy  	L = DyAs rt + (Dy) ht  	96  	50  	98  	1340  	Eutectic  
As-Dy  	(Dy) ht = DyAs rt + (Dy) rt  	98.5  	50  	99  	1270  	Eutectoid  
Au-Dy  	L = (Au) + Au6Dy  	9.5  	2.3  	14.3  	808  	Eutectic  
Au-Dy  	L + Au51Dy14 = Au6Dy  	10  	21.5  	14.3  	854  	Peritectic  
Au-Dy  	L + Au3Dy = Au51Dy14  	15  	25  	21.5  	1095  	Peritectic  
Au-Dy  	L = Au3Dy  	 	25  	 	1230  	Congruent  
Au-Dy  	L = Au3Dy + Au2Dy  	27  	25  	33.3  	1185  	Eutectic  
Au-Dy  	L = Au2Dy  	 	33.3  	 	1320  	Congruent  
Au-Dy  	L = Au2Dy + AuDy rt  	38  	33.3  	50  	1235  	Eutectic  
Au-Dy  	L = AuDy ht  	 	50  	 	1660  	Congruent  
Au-Dy  	AuDy ht = AuDy rt  	 	50  	 	1360  	Polymorphic  
Au-Dy  	L + AuDy rt = AuDy2  	74  	50  	66.7  	1065  	Peritectic  
Au-Dy  	L = AuDy2 + (Dy) rt  	79  	66.7  	100  	935  	Eutectic  
Au-Dy  	L + (Dy) ht + (Dy) rt  	98  	100  	100  	1381  	unknown  
B-Dy  	L = (B) rhom1 + DyB66  	1  	0  	2  	2015  	Eutectic  
B-Dy  	L + DyB12 = DyB66  	2  	7.7  	2  	2020  	Peritectic  
B-Dy  	L + DyB6 = DyB12  	6.5  	14  	7.7  	2100  	Peritectic  
B-Dy  	L + DyB4 = DyB6  	12  	20  	14.3  	2200  	Peritectic  
B-Dy  	L = DyB4  	 	20  	 	2500  	Congruent  
B-Dy  	L + DyB4 = DyB2  	40  	20  	33.3  	2100  	Eutectic  
B-Dy  	L = DyB2 + (Dy) ht  	98.5  	33.3  	100  	1400  	Eutectic  
B-Dy  	DyB2 + (Dy) ht + (Dy) rt  	33.3  	100  	100  	1384  	unknown  
Bi-Dy  	L = (Bi) + DyBi rt  	1  	0  	50  	269  	Eutectic  
Bi-Dy  	L = DyBi rt  	 	50  	 	1730  	Congruent  
Bi-Dy  	L + DyBi rt = Dy5Bi3  	70  	50  	62.5  	1447  	Peritectic  
Bi-Dy  	L = Dy5Bi3 + (Dy) rt  	80  	62.5  	100  	1147  	Eutectic  
Bi-Dy  	(Dy) ht = L + (Dy) rt  	99.5  	95  	100  	1365  	Catatectic  
Ce-Dy  	(Ce ht2,Dy ht) = (Ce) ht2 + (Ce) rt  	12  	2  	20  	700  	Eutectoid  
Cl-Dy  	L + (Dy) rt = DyCl2 ht  	32.5  	100  	33.3  	721  	Peritectic  
Cl-Dy  	DyCl2 ht = DyCl2 rt  	 	33.3  	 	652  	Polymorphic  
Cl-Dy  	L + DyCl2 ht = Dy5Cl11  	30  	33.3  	31.3  	675  	Peritectic  
Cl-Dy  	L = Dy5Cl11 + DyCl3  	28.2  	31.3  	25  	507  	Eutectic  
Cl-Dy  	L = DyCl3  	 	25  	 	651  	Congruent  
Co-Dy  	L = (Co) ht + Dy2Co17  	7  	0  	10.5  	1360  	Eutectic  
Co-Dy  	L = Dy2Co17  	 	10.5  	 	1390  	Congruent  
Co-Dy  	L + DyCo3 = Dy2Co7  	20  	25  	22.2  	1335  	Peritectic  
Co-Dy  	L = DyCo3  	 	25  	 	1350  	Congruent  
Co-Dy  	L + DyCo3 = DyCo2  	37  	25  	33.3  	1270  	Peritectic  
Co-Dy  	L + Dy2Co17 + DyCo5 ht  	16.7  	10.5  	16.7  	1350  	unknown  
Co-Dy  	L = DyCo5 ht + Dy2Co7  	19  	16.7  	22.2  	1325  	Eutectic  
Co-Dy  	L = DyCo2 + Dy12Co7  	57.14  	33.3  	63.2  	716  	Eutectic  
Co-Dy  	L = Dy12Co7  	 	63.2  	 	735  	Congruent  
Co-Dy  	L = Dy12Co7 + DyCo3  	66.6  	63.2  	75  	725  	Eutectic  
Co-Dy  	L + (Dy) rt = CoDy3  	72.5  	100  	75  	845  	Peritectic  
Co-Dy  	L + (Dy) ht + (Dy) rt  	98  	100  	100  	1381  	unknown  
Cr-Dy  	L1 = L2 + (Cr)  	20  	80  	0  	1707.8  	Monotectic  
Cr-Dy  	L2 = (Cr) + (Dy) rt  	95.6  	0  	100  	1344.5  	Eutectic  
Cr-Dy  	L2 + (Dy) ht + (Dy) rt  	98  	100  	100  	1381  	unknown  
Cu-Dy  	L = (Cu) + Cu5.4Dy0.8  	10  	0  	12.5  	855  	Eutectic  
Cu-Dy  	L + Cu5Dy rt = Cu7Dy  	10.5  	16.7  	12.5  	860  	Peritectic  
Cu-Dy  	Cu5.4Dy0.8 = (Cu) + Cu5Dy rt  	12.5  	0  	16.7  	775  	Eutectoid  
Cu-Dy  	L + Cu5Dy ht + Cu9Dy2  	16.7  	16.7  	18.2  	965  	unknown  
Cu-Dy  	Cu5Dy ht = Cu5Dy rt  	 	16.7  	 	930  	Polymorphic  
Cu-Dy  	L = Cu9Dy2  	 	18.2  	 	970  	Congruent  
Cu-Dy  	L + Cu9Dy2 = Cu7Dy2 ht  	26.5  	18.2  	22.2  	905  	Peritectic  
Cu-Dy  	Cu7Dy2 ht = L + Cu9Dy2  	22.2  	28.5  	18.2  	855  	Catatectic  
Cu-Dy  	L = Cu9Dy2 + Cu2Dy  	29  	28.2  	33.3  	845  	Eutectic  
Cu-Dy  	L = Cu2Dy  	 	33.3  	 	890  	Congruent  
Cu-Dy  	L = Cu2Dy + CuDy  	39.5  	33.3  	50  	840  	Eutectic  
Cu-Dy  	L = CuDy  	 	50  	 	955  	Congruent  
Cu-Dy  	L = CuDy + (Dy) ht  	79  	50  	88  	790  	Eutectic  
Cu-Dy  	(Dy) ht = CuDy + (Dy) rt  	95  	50  	99  	750  	Eutectoid  
Dy-Er  	L + (Dy rt,Er) = (Dy) ht  	48  	50  	49  	1470  	Peritectic  
Dy-Fe  	L + (Dy) ht + (Dy) rt  	2  	0  	0  	1381  	unknown  
Dy-Fe  	L = (Dy) rt + DyFe2 rt  	27  	0  	66.7  	880  	Eutectic  
Dy-Fe  	L + DyFe3 = DyFe2 rt  	63.5  	75  	66.7  	1260  	Peritectic  
Dy-Fe  	L = DyFe3  	 	75  	 	1295  	Congruent  
Dy-Fe  	L = DyFe3 + Dy2Fe17  	77  	75  	89.5  	1290  	Eutectic  
Dy-Fe  	L = Dy2Fe17  	 	89.5  	 	1375  	Congruent  
Dy-Fe  	L = Dy2Fe17 + (Fe) ht  	93  	89.5  	100  	1360  	Eutectic  
Dy-Fe  	DyFe3 + Dy2Fe17 = Dy6Fe23  	75  	89.5  	79.3  	1280  	Peritectoid  
Dy-Fe  	Dy2Fe17 + (Fe) ht + (Fe) rt  	89.5  	100  	100  	912  	unknown  
Dy-Fe  	L + (Fe) rt = (Fe) ht  	95  	100  	100  	1394  	unknown  
Dy-Ga  	(Dy) ht = L + (Dy) rt  	6  	3  	9  	1230  	Catatectic  
Dy-Ga  	L = (Dy) rt + Dy5Ga3  	20  	0  	37.5  	940  	Eutectic  
Dy-Ga  	L + Dy5Ga3 + DyGa  	37.5  	37.5  	50  	1210  	unknown  
Dy-Ga  	L + DyGa + DyGa2  	50  	50  	66.7  	1280  	unknown  
Dy-Ga  	L = DyGa2  	 	33.7  	 	1330  	Congruent  
Dy-Ga  	L + DyGa2 = DyGa3 ht2  	85  	66.7  	75  	1045  	Peritectic  
Dy-Ga  	DyGa3 ht2 = DyGa3 ht1  	 	75  	 	550  	Polymorphic  
Dy-Ga  	DyGa3 ht1 = DyGa3 rt  	 	75  	 	350  	Polymorphic  
Dy-Ga  	L + DyGa3 rt = DyGa6  	99  	75  	85.7  	347  	Peritectic  
Dy-Ga  	L + DyGa6 + (Ga)  	100  	85.7  	100  	29.7741  	unknown  
Dy-Ge  	L + (Dy) ht + (Dy) rt  	4  	0  	0  	1381  	unknown  
Dy-Ge  	L = (Dy) rt + Dy5Ge3  	11  	0  	36  	1215  	Eutectic  
Dy-Ge  	L = Dy5Ge3  	 	37.5  	 	1825  	Congruent  
Dy-Ge  	L + Dy5Ge3 = Dy5Ge4  	51.5  	37.5  	44.4  	1575  	Peritectic  
Dy-Ge  	L + Dy5Ge4 = DyGe  	54  	44.4  	50  	1530  	Peritectic  
Dy-Ge  	L + DyGe = DyGe1.5 ht  	65  	50  	60  	1405  	Peritectic  
Dy-Ge  	DyGe1.5 ht = DyGe1.61 ht  	 	60  	 	1300  	Polymorphic  
Dy-Ge  	DyGe1.61 ht = DyGe1.59 rt  	 	60  	 	890  	Polymorphic  
Dy-Ge  	DyGe1.61 ht + DyGe1.85 = Dy3Ge5 rt  	66.7  	66.7  	62.2  	935  	Peritectoid  
Dy-Ge  	L + DyGe1.61 ht = DyGe1.85  	80  	60  	66.7  	965  	Peritectic  
Dy-Ge  	L + DyGe1.85 = DyGe3  	83.5  	66.7  	74  	885  	Peritectic  
Dy-Ge  	L = DyGe3 + (Ge)  	85  	74  	100  	960  	Eutectic  
Dy-Hg  	(Dy) ht = (Dy) rt + HgDy  	9  	3  	50  	760  	Eutectoid  
Dy-Hg  	(Dy) rt + (Dy) lt + HgDy  	0  	0  	50  	-187  	unknown  
Dy-Hg  	L = (Dy) ht + HgDy  	20  	10.5  	50  	800  	Eutectic  
Dy-Hg  	L = HgDy  	 	50  	 	1160  	Congruent  
Dy-Hg  	L = HgDy + Hg2Dy  	59  	50  	66.7  	1020  	Eutectic  
Dy-Hg  	L = Hg2Dy  	 	66.7  	 	1120  	Congruent  
Dy-Hg  	L + Hg2Dy = Hg3Dy  	81  	66.7  	75  	900  	Peritectic  
Dy-Hg  	L + Hg3Dy + (Hg) lt  	100  	75  	100  	-38.829  	unknown  
Dy-Hg  	Hg3Dy + (Hg) lt + (Hg) lt2  	75  	100  	100  	-194  	unknown  
Dy-Ho  	L + (Dy rt,Ho) = (Dy) ht  	75.9  	75.9  	75.9  	1457  	Peritectic  
Dy-I  	L + (Dy) rt + DyI2  	66.7  	0  	66.7  	659  	unknown  
Dy-I  	L = DyI2 + DyI3  	67.9  	66.7  	75  	628  	Eutectic  
Dy-I  	L = DyI3 ht  	 	75  	 	983  	Congruent  
Dy-I  	DyI3 ht = DyI3  	 	75  	 	828  	Polymorphic  
Dy-In  	L = (Dy) ht + DyIn2  	20  	18  	33.3  	1100  	Eutectic  
Dy-In  	(Dy) ht = (Dy) rt + Dy2In  	12  	8  	33.3  	1000  	Eutectoid  
Dy-In  	L = DyIn2  	 	33.3  	 	1260  	Congruent  
Dy-In  	L = DyIn2 + Dy5In3  	35  	33.3  	37.5  	1190  	Eutectic  
Dy-In  	L + Dy5In3 + DyIn  	37.5  	37.5  	45  	1220  	unknown  
Dy-In  	L = DyIn  	 	50  	 	1300  	Congruent  
Dy-In  	L = DyIn + Dy3In5  	60  	50  	62.5  	1120  	Eutectic  
Dy-In  	L = Dy3In5  	 	62.5  	 	1140  	Congruent  
Dy-In  	L = Dy3In5 + DyIn3  	65  	62.5  	75  	1110  	Eutectic  
Dy-In  	L = DyIn3  	 	75  	 	1150  	Congruent  
Dy-In  	L = DyIn3 + (In)  	100  	75  	100  	156  	Eutectic  
Dy-Ir  	(Dy) ht = (Dy) rt + Dy3Ir  	1.5  	1  	25  	1200  	Eutectoid  
Dy-Ir  	L = (Dy) ht + Dy3Ir  	10  	2  	25  	1300  	Eutectic  
